rank,model_id,model_name,variant,quantization,runtime,hardware_id,workload,estimated_memory_gb,weight_memory_gb,context_tokens,context_target_tokens,tokens_per_second,quality_score,jgb_level,jgb_confidence,fit_score,confidence,cpu_price_eur,cpu_price_source,ram_price_eur,ram_price_source,gpu_price_eur,gpu_price_source,hardware_price_eur,price_coverage,value_score,reason,cabe,cabe_status,rula,rula_status,jgb_status,performance_score,economic_score,uncertainty,parameters_total_b,parameters_active_b,kv_cache_gb,runtime_overhead_gb,memory_margin_gb,runtime_version,backend,context_length,evidence_state,evidence_type,source_url,last_verified_at
1,inferencerlabs/Qwen3.8-27B-MTP-MLX-Q4,inferencerlabs/Qwen3.8-27B-MTP-MLX-Q4,,,transformers,,,0.07,0.07,,,,,,,0.2993,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.048874,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
2,sagnikdas-ml/bengali-llmprompt-router,sagnikdas-ml/bengali-llmprompt-router,,,transformers,,,0.28,0.28,,,,,,,0.2974,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.048553,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
3,bijonguha/llm-sft-tiny-finetuned,bijonguha/llm-sft-tiny-finetuned,,,transformers,,,0.49,0.49,,,,,,,0.2954,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.048231,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
4,inference-optimization/Qwen3.8-1.0B-A0.6B-NVFP4-FP8,inference-optimization/Qwen3.8-1.0B-A0.6B-NVFP4-FP8,,fp8,transformers,,,0.97,0.97,,,,,,,0.2909,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.047496,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
5,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt16,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt16,,,transformers,,,2.29,2.29,,,,,,,0.2785,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.045476,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
6,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt15,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt15,,,transformers,,,2.29,2.29,,,,,,,0.2785,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.045476,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
7,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt14,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt14,,,transformers,,,2.29,2.29,,,,,,,0.2785,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.045476,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
8,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt13,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt13,,,transformers,,,2.29,2.29,,,,,,,0.2785,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.045476,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
9,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt12,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt12,,,transformers,,,2.29,2.29,,,,,,,0.2785,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.045476,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
10,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt11,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt11,,,transformers,,,2.29,2.29,,,,,,,0.2785,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.045476,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
11,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt10,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt10,,,transformers,,,2.29,2.29,,,,,,,0.2785,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.045476,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
12,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt9,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt9,,,transformers,,,2.29,2.29,,,,,,,0.2785,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.045476,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
13,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt8,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt8,,,transformers,,,2.29,2.29,,,,,,,0.2785,low,440.48,Amazon España;MediaMarkt España;PcComponentes,172.00,LDLC España;MediaMarkt España,,,612.48,2/3,0.045476,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
